name;brand;type;rating_value;rating_count;year;segment;perfumers;families;top_notes;middle_notes;bottom_notes;users_notes;url
Honey & Crocus;Jo Malone;Одеколон;4,3;11 оценок;2018;niche;mathilde-bijaoui, jo-malone;sweet, gourmet;;krokus, mod, almond-milk;;;https://aromo.ru/fragrance/jo-malone-honey-_-crocus-cologne-eau-de-cologne-832383/
Mimosa Indigo;Atelier Cologne;Одеколон;4,3;11 оценок;2016;niche;jerome-epinette;floral, east, powdery;mandarin, saffron, calabrian-bergamot;kozha, mimosa, siren;musk, sandal, vanil;kozha, mimosa, saffron, sandal, vanil, mandarin, siren;https://aromo.ru/fragrance/atelier-cologne-mimosa-indigo-cologne-eau-de-cologne-49490/
Italica (2021);Xerjoff;Парфюмерная вода;4,3;11 оценок;2021;niche;;gourmet;mindal, moloko, saffron;toffee, bourbon-vanilla;white-musk, sandal;toffee, moloko, mindal, sandal, bourbon-vanilla;https://aromo.ru/fragrance/italica-2021/
Vanille;Mona di Orio;Парфюмерная вода;4,3;11 оценок;2011;niche;;east;bitter-orange, cloves, rom;guajak, ilang-ilang, ptitgrejn-list-citrusovyh, toluansky-balm, vanil;ambra, tonka-bean, kozha, musk, sandal, vetiver;ambra, bitter-orange, rom, vanil, cloves, ilang-ilang, kozha, ptitgrejn-list-citrusovyh, vetiver;https://aromo.ru/fragrance/mona-di-orio-vanille-69237/
Coco Figue;Comptoir Sud Pacifique;Туалетная вода;4,3;11 оценок;2009;niche;;fruit, gourmet;inzhir, kokos, vanil;tonka-bean, moloko, sahar;kokosovoe-molochko, list-inzhira, sahar, madagascan-vanilla;tonka-bean, kokos, kokosovoe-molochko, moloko, vanil, list-inzhira, sahar, madagascan-vanilla;https://aromo.ru/fragrance/comptoir-sud-pacifique-coco-figue-toilet-water-eau-de-toilette-49276/
Comme une Evidence;Yves Rocher;Парфюмерная вода;4,3;105 оценок;2003;mass-market;;chypre, floral;list-fialki, reven;lily-of-the-valley, rose;dubovyj-moh, musk, pachuli;lily-of-the-valley, rose, reven, dubovyj-moh, list-fialki, pachuli, musk;https://aromo.ru/fragrance/yves-rocher-comme-une-evidence-perfume-water-eau-de-parfum-49800/
Memoire d'Une Odeur;Gucci;Парфюмерная вода;4,3;102 оценки;;;;aromatic, mineral;romashka;musk, jasmine;kedr, sandal, vanil;romashka, musk, sandal, vanil, jasmine, white-cedar, kedr;https://aromo.ru/fragrance/gucci-memoire-d_une-odeur-perfume-water-eau-de-parfum-2035057/
Gucci Bloom Acqua di Fiori;Gucci;Туалетная вода;4,3;101 оценка;2018;suite;alberto-morillas, alessandro-michele;green, floral;galbanum, list-i-buton-chernoj-smorodiny;tuberoza, jasmine, honeysuckle;musk, sandal;list-i-buton-chernoj-smorodiny, honeysuckle, galbanum, tuberoza, musk, sandal, jasmine;https://aromo.ru/fragrance/gucci-gucci-bloom-acqua-di-fiori-toilet-water-eau-de-toilette-652001/
Green Tea;Elizabeth Arden;Парфюмерная вода;4,3;100 оценок;1999;suite;francis-kurkdian;fern, citrus;orange, bergamot, lemon, mint, reven;ambra, dubovyj-moh, fenkhel, gvozdika, musk, jasmine;ambra, dubovyj-moh, cloves, musk, celery, caraway, green-tea, jasmine;bergamot, mint, green-tea, lemon, musk, jasmine, reven, orange, dubovyj-moh, ambra, fenkhel, cloves, celery, caraway, gvozdika;https://aromo.ru/fragrance/elizabeth-arden-green-tea-perfume-water-eau-de-parfum-61200/
Baie 19;Le Labo;Парфюмерная вода;4,3;10 оценок;;;;aromatic;;ambroxan, rainwater, juniper, mozhzhevelnik-plody, musk, pachuli, green-notes;;rainwater, pachuli, green-notes;https://aromo.ru/fragrance/le-labo-baie-19-perfume-water-eau-de-parfum-2134331/
Soir d'Orient;Sisley;Парфюмерная вода;4,3;10 оценок;;;;wood, floral, east;galbanum, lemon, saffron;geranium, pepper, rose;ladan, pachuli, sandal;saffron, ladan, pepper, rose, galbanum, geranium, lemon, pachuli, sandal;https://aromo.ru/fragrance/sisley-soir-d_orient-perfume-water-eau-de-parfum-89080/
Dark Rebel;John Varvatos;Туалетная вода;4,3;10 оценок;;;;wood, east;artemizija-polyn, cardamom, clary-sage, rom, sakharnyy-trostnik;firbalsam, kozha, pepper, styrax;drevesnyje-noty, kastoreum, akigalawood, juniper, tabak, vanil;kastoreum, artemizija-polyn, drevesnyje-noty, firbalsam, cardamom, kozha, akigalawood, clary-sage, pepper, rom, sakharnyy-trostnik;https://aromo.ru/fragrance/john-varvatos-dark-rebel-toilet-water-eau-de-toilette-51403/
Ciel de Gum;Maison Francis Kurkdjian;Парфюмерная вода;4,3;10 оценок;;;;floral, east;;ambra, pink-pepper, vanil, jasmine;;;https://aromo.ru/fragrance/maison-francis-kurkdjian-ciel-de-gum-perfume-water-eau-de-parfum-48489/
Early Roses;Teo Cabanel;Парфюмерная вода;4,3;10 оценок;;;;floral;rose, jasmine;pink-pepper, jasmine;ambra, drevesnyje-noty, musk;rose, musk, pink-pepper;https://aromo.ru/fragrance/teo-cabanel-early-roses-53413/
