url;Perfume;Brand;Country;Gender;Year;Top;Middle;Base
https://www.fragrantica.com/perfume/o-boticario/egeo-on-you-55431.html;egeo-on-you;o-boticario;Brazil;unisex;2019;mint, eucalyptus, cardamom, pineapple, bergamot, peach, melon;fenugreek, woody notes, sage, green leaves, lavender, galbanum;milk, vetiver, benzoin, sandalwood, amber, musk
https://www.fragrantica.com/perfume/faberlic/uviolet-52839.html;uviolet;faberlic;Russia;women;2018;green leaves, pink grapefruit;flowers, magnolia, orchid, blackberry;white wood, amber, vanilla
https://www.fragrantica.com/perfume/mandarina-duck/scarlet-rain-3905.html;scarlet-rain;mandarina-duck;Italy;women;2008;blood orange, red currant;cyclamen, orchid, rose;benzoin, amber, musk
https://www.fragrantica.com/perfume/alexandre-j/western-leather-white-30290.html;western-leather-white;alexandre-j;France;women;2014;apple, rhubarb, red berries;pineapple, pear, black currant, freesia, rose, jasmine;white musk, violet, amberwood, moss
https://www.fragrantica.com/perfume/disney/little-mermaid-64422.html;little-mermaid;disney;USA;women;2020;jasmine sambac;tuberose;almond
https://www.fragrantica.com/perfume/fragrance-du-bois/wild-orange-85231.html;wild-orange;fragrance-du-bois;France;unisex;2023;orange, mandarin orange, lemon, bergamot;orange blossom, lily of the valley, cypress;sandal, cedar, patchouli, vetiver
https://www.fragrantica.com/perfume/we-pink/vf-virginia-fonseca-honey-87581.html;vf-virginia-fonseca-honey;we-pink;Brazil;women;2023;blood orange, peach, cardamom;rum, cognac, jasmine;vanilla, patchouli, sandalwood
https://www.fragrantica.com/perfume/caron/muguet-du-bonheur-2021-66866.html;muguet-du-bonheur-2021;caron;France;women;;watermelon, lime, nashi pear, bergamot, italian mandarin;lily-of-the-valley, turkish rose, rose;patchouli, moss, virginian cedar
https://www.fragrantica.com/perfume/trump/success-13419.html;success;trump;USA;men;2011;juniper, coriander, red currant;bamboo, ginger, geranium;birch, vetiver, musk, tonka bean
https://www.fragrantica.com/perfume/haute-fragrance-company-hfc/chic-blossom-46042.html;chic-blossom;haute-fragrance-company-hfc;France;women;2017;indian jasmine, italian lemon, italian mandarin;jasmine sambac, amber;musk, benzoin, tobacco
https://www.fragrantica.com/perfume/frederic-malle/synthetic-nature-89055.html;synthetic-nature;frederic-malle;France;unisex;2024;black currant, lily of the valley, basil;jasmine, hyacinth, ylang ylang;patchouli
https://www.fragrantica.com/perfume/karl-lagerfeld/lagerfeld-femme-1310.html;lagerfeld-femme;karl-lagerfeld;France;women;2000;rhubarb, green mandarin, elemi resin;narcissus, lily;cedar, musk, cherry
https://www.fragrantica.com/perfume/arabesque-perfumes/pearl-64734.html;pearl;arabesque-perfumes;UAE;unisex;2020;green apple, guava;sweet notes, tonka bean, peach, orange;white musk, white flowers, vanilla
